,accuracy,0,1,2,3,4,5,6,7,8,9
q4,0.35714285714285715,0.2566964285714285,0.05666208791208785,0.0,0.6866414835164836,,,,,,
r4,0.42857142857142855,0.05555555555555552,0.209013209013209,0.27083333333333337,0.4645979020979021,,,,,,
s4,0.5714285714285714,0.0,0.3703703703703703,0.19560185185185178,0.43402777777777785,,,,,,
t4,0.6428571428571429,0.4558061821219716,0.22523956951201526,0.17777777777777787,0.14117647058823526,,,,,,
u4,0.5,0.21874223602484488,0.3987577639751551,0.2825,0.1,,,,,,
v4,0.6428571428571429,0.48603896103896105,0.0,0.2793650793650794,0.2345959595959596,,,,,,
w4,0.5714285714285714,0.2552083333333333,0.0,0.20833333333333334,0.5364583333333333,,,,,,
x4,0.42857142857142855,0.06302521008403363,0.08578431372549014,0.08928571428571427,0.761904761904762,,,,,,
y4,0.42857142857142855,0.4735690601372905,0.1006191950464397,0.29168116950922385,0.1341305753070459,,,,,,
z4,0.42857142857142855,0.06787330316742081,0.22743219575798757,0.7046945010745918,0.0,,,,,,
a5,0.3076923076923077,0.11356578830627267,0.3623390184476156,0.19457013574660634,0.20886140742409048,0.12066365007541478,,,,,
b5,0.38461538461538464,0.3970551378446116,0.08928571428571427,0.31785714285714284,0.19580200501253123,0.0,,,,,
c5,0.3076923076923077,0.28034188034188035,0.2865359477124183,0.17777777777777776,0.11312217194570137,0.14222222222222222,,,,,
d5,0.46153846153846156,0.14759750053867693,0.22897364073834658,0.14529914529914542,0.11312217194570136,0.3650075414781297,,,,,
e5,0.46153846153846156,0.4059065934065934,0.10714285714285712,0.22477522477522477,0.16071428571428575,0.10146103896103896,,,,,
f5,0.46153846153846156,0.1720019111323458,0.21209649725274737,0.20561974789915968,0.21020962732919263,0.20007221638655462,,,,,
g5,0.38461538461538464,0.1296296296296296,0.1815253989167033,0.22575250836120395,0.2307692307692307,0.2323232323232324,,,,,
h5,0.38461538461538464,0.2080957382953181,0.1530032467532468,0.08928571428571427,0.4035114045618247,0.1461038961038961,,,,,
i5,0.6153846153846154,0.4236243386243386,0.05185185185185184,0.2613756613756614,0.1607142857142857,0.10243386243386246,,,,,
j5,0.6923076923076923,0.20457875457875466,0.10714285714285712,0.17500000000000002,0.3942307692307692,0.11904761904761904,,,,,
k5,0.5384615384615384,0.09653092006033177,0.15294117647058836,0.040723981900452455,0.5333333333333333,0.17647058823529407,,,,,
l5,0.6153846153846154,0.11837606837606844,0.2685714285714287,0.2395604395604395,0.25349206349206344,0.11999999999999998,,,,,
m5,0.38461538461538464,0.10342598577892698,0.20517129928894637,0.45384615384615384,0.13574660633484162,0.10180995475113122,,,,,
n5,0.46153846153846156,0.28444444444444444,0.0,0.2177777777777777,0.33777777777777784,0.16,,,,,
o5,0.38461538461538464,0.20571428571428563,0.0,0.4768253968253969,0.3174603174603175,0.0,,,,,
p5,0.46153846153846156,0.5298228557157127,0.0,0.2204670329670331,0.1811224489795918,0.06858766233766234,,,,,
q5,0.46153846153846156,0.04807692307692309,0.15624999999999997,0.27678571428571425,0.234277950310559,0.2846094123268036,,,,,
r5,0.5384615384615384,0.20861950549450556,0.10044642857142859,0.17857142857142858,0.28127020038784745,0.23109243697478993,,,,,
s5,0.7692307692307693,0.4193835678210679,0.0,0.18177308802308811,0.15219155844155838,0.24665178571428567,,,,,
t5,0.6153846153846154,0.32,0.0,0.28126984126984134,0.39873015873015877,0.0,,,,,
u5,0.38461538461538464,0.1163542340012929,0.17478991596638643,0.15294117647058839,0.2617970265029088,0.2941176470588235,,,,,
v5,0.38461538461538464,0.10529063696484509,0.0723981900452489,0.09049773755656107,0.6415643180349062,0.09024911739843873,,,,,
w5,0.5384615384615384,0.31152105812739284,0.39679777236338326,0.29168116950922385,0.0,0.0,,,,,
x5,0.6923076923076923,0.06222222222222224,0.0,0.38241758241758234,0.38096866096866105,0.1743915343915344,,,,,
y5,0.5384615384615384,0.2285714285714286,0.1585185185185185,0.0,0.435,0.17791005291005296,,,,,
z5,0.46153846153846156,0.16289592760180988,0.08726567550096959,0.3640793595544728,0.26940480334145495,0.11635423400129284,,,,,
a6,0.6153846153846154,0.27040816326530603,0.0,0.0,0.5510204081632654,0.0,0.17857142857142855,,,,
b6,0.6923076923076923,0.0,0.3347199675324676,0.17857142857142858,0.21950705544455545,0.09523809523809518,0.1719634532134532,,,,
c6,0.38461538461538464,0.38194444444444453,0.0,0.2708333333333333,0.3472222222222223,0.0,0.0,,,,
d6,0.46153846153846156,0.322037037037037,0.05185185185185183,0.10158730158730157,0.22738095238095232,0.1913227513227513,0.1058201058201058,,,,
e6,0.6153846153846154,0.14932126696832573,0.12066365007541476,0.30231382493825926,0.20048729550991992,0.11635423400129284,0.11085972850678741,,,,
f6,0.46153846153846156,0.3596097529921059,0.18601190476190474,0.08928571428571427,0.15798017771701992,0.0,0.20711245024325511,,,,
g6,0.5384615384615384,0.0,0.037762237762237756,0.38095238095238104,0.22738095238095235,0.1553113553113554,0.19859307359307357,,,,
h6,0.5384615384615384,0.2819141642671054,0.0,0.16289592760181007,0.21719457013574653,0.22487316604963659,0.11312217194570134,,,,
i6,0.46153846153846156,0.023076923076923026,0.09142857142857132,0.36333333333333334,0.10549450549450559,0.20000000000000007,0.21666666666666667,,,,
