,accuracy,0,1,2,3,4,5,6,7,8,9
w9,0.3,0.24,0.06,0.06,0.0,0.16,0.14,0.1,0.16,0.08,
x9,0.3,0.2,0.12,0.1,0.16,0.06,0.1,0.1,0.1,0.06,
y9,0.6,0.14,0.04,0.16,0.14,0.04,0.1,0.16,0.12,0.1,
z9,0.4,0.1,0.2,0.12,0.12,0.06,0.1,0.1,0.14,0.06,
a10,0.4444444444444444,0.22,0.06,0.02,0.16,0.0,0.02,0.22,0.12,0.0,0.18
b10,0.7777777777777778,0.12,0.04,0.0,0.24,0.04,0.18,0.16,0.12,0.06,0.04
c10,0.3333333333333333,0.08,0.08,0.22,0.22,0.04,0.02,0.16,0.08,0.0,0.1
d10,0.5555555555555556,0.08,0.08,0.04,0.06,0.02,0.3,0.18,0.06,0.12,0.06
e10,0.6666666666666666,0.06,0.02,0.22,0.32,0.04,0.02,0.02,0.26,0.02,0.02
f10,0.7777777777777778,0.14,0.1,0.02,0.28,0.1,0.06,0.18,0.04,0.04,0.04
g10,0.4444444444444444,0.16,0.04,0.1,0.12,0.08,0.08,0.16,0.04,0.02,0.2
h10,0.4444444444444444,0.12,0.06,0.12,0.06,0.02,0.04,0.24,0.2,0.04,0.1
i10,0.5555555555555556,0.18,0.06,0.08,0.14,0.0,0.14,0.1,0.08,0.16,0.06
j10,0.4444444444444444,0.1,0.06,0.0,0.0,0.04,0.08,0.26,0.44,0.0,0.02
k10,0.5555555555555556,0.18,0.06,0.16,0.12,0.04,0.12,0.06,0.12,0.06,0.08
l10,0.5555555555555556,0.24,0.08,0.1,0.12,0.04,0.02,0.24,0.02,0.04,0.1
m10,0.5555555555555556,0.2,0.08,0.1,0.22,0.04,0.14,0.08,0.02,0.06,0.06
n10,0.4444444444444444,0.12,0.18,0.02,0.28,0.0,0.0,0.04,0.18,0.1,0.08
o10,0.5555555555555556,0.3,0.02,0.02,0.14,0.1,0.04,0.3,0.0,0.08,0.0
p10,0.3333333333333333,0.16,0.06,0.12,0.2,0.02,0.2,0.0,0.1,0.06,0.08
q10,0.2222222222222222,0.22,0.1,0.16,0.14,0.06,0.06,0.02,0.02,0.02,0.2
r10,0.5555555555555556,0.14,0.08,0.0,0.22,0.06,0.22,0.08,0.06,0.14,0.0
s10,0.5555555555555556,0.18,0.08,0.08,0.02,0.04,0.04,0.18,0.12,0.26,0.0
t10,0.3333333333333333,0.22,0.06,0.04,0.1,0.02,0.14,0.08,0.02,0.06,0.26
u10,0.4444444444444444,0.12,0.12,0.1,0.06,0.04,0.1,0.22,0.14,0.08,0.02
v10,0.6666666666666666,0.18,0.12,0.08,0.16,0.06,0.14,0.02,0.1,0.08,0.06
w10,0.5555555555555556,0.2,0.22,0.04,0.1,0.04,0.06,0.16,0.04,0.1,0.04
x10,0.6666666666666666,0.16,0.1,0.08,0.06,0.1,0.06,0.12,0.06,0.06,0.2
y10,0.5555555555555556,0.1,0.1,0.18,0.04,0.08,0.04,0.18,0.12,0.14,0.02
z10,0.6666666666666666,0.2,0.12,0.02,0.18,0.18,0.08,0.08,0.12,0.0,0.02
