,accuracy,0,1,2,3,4,5,6,7,8,9
b5,0.6923076923076923,0.17789502164502166,0.2745535714285714,0.12698412698412703,0.22711489898989898,0.19345238095238088,,,,,
c5,0.23076923076923078,0.23533721180779993,0.09049773755656107,0.36496444731738864,0.0,0.3092006033182504,,,,,
d5,0.38461538461538464,0.3509667755991286,0.0925925925925926,0.037615740740740755,0.3113425925925926,0.20748229847494556,,,,,
e5,0.3076923076923077,0.08928571428571427,0.1502976190476191,0.2520755012531328,0.39896616541353386,0.10937499999999997,,,,,
f5,0.6923076923076923,0.27795733678086615,0.06787330316742081,0.08080155138978667,0.3374272786037493,0.2359405300581771,,,,,
g5,0.3076923076923077,0.06666666666666667,0.0,0.5744444444444444,0.1174603174603175,0.24142857142857138,,,,,
h5,0.6153846153846154,0.0,0.1888888888888889,0.4285714285714286,0.2758730158730158,0.10666666666666665,,,,,
i5,0.38461538461538464,0.17507002801120453,0.17146915584415584,0.08522727272727275,0.2903603749191984,0.2778731684981685,,,,,
j5,0.5384615384615384,0.21428571428571425,0.18775755494505494,0.0,0.40487637362637363,0.19308035714285726,,,,,
k5,0.5384615384615384,0.14285714285714288,0.19969093406593408,0.13461538461538464,0.19805975274725277,0.3247767857142857,,,,,
l5,0.46153846153846156,0.1316889632107023,0.3161108193277311,0.39036986031870946,0.16183035714285718,0.0,,,,,
m5,0.46153846153846156,0.0,0.1215277777777778,0.2115575396825397,0.4288194444444444,0.23809523809523814,,,,,
n5,0.46153846153846156,0.06981254040077575,0.0,0.09049773755656107,0.5846506434741728,0.2550390785684903,,,,,
o5,0.5384615384615384,0.25598370221739936,0.0,0.05743125652627909,0.31745869249196373,0.3691263487643578,,,,,
p5,0.46153846153846156,0.13392857142857142,0.45817669172932324,0.12053571428571433,0.287359022556391,0.0,,,,,
q5,0.5384615384615384,0.15225563909774448,0.11160714285714285,0.175,0.37087912087912084,0.19025809716599185,,,,,
r5,0.23076923076923078,0.23672438672438664,0.0,0.20454545454545456,0.11666666666666667,0.4420634920634921,,,,,
s5,0.46153846153846156,0.5510107628153941,0.1206636500754148,0.15271493212669682,0.10321246493724541,0.07239819004524889,,,,,
t5,0.46153846153846156,0.1712962962962963,0.30423280423280424,0.24907407407407411,0.18895891690009334,0.086437908496732,,,,,
u5,0.5384615384615384,0.2649954212454212,0.17582417582417592,0.23976023976023975,0.25245587745587744,0.06696428571428571,,,,,
v5,0.3076923076923077,0.40909090909090917,0.15624999999999997,0.1578733766233766,0.13392857142857142,0.1428571428571428,,,,,
w5,0.3076923076923077,0.03703703703703707,0.19560185185185183,0.5629960317460316,0.09259259259259257,0.11177248677248679,,,,,
x5,0.6923076923076923,0.2087198515769944,0.16071428571428573,0.4771634615384617,0.0,0.15340240117025827,,,,,
y5,0.38461538461538464,0.4203117144293615,0.3438914027149321,0.2357968828557065,0.0,0.0,,,,,
z5,0.46153846153846156,0.45272683972374367,0.0,0.22171945701357462,0.21243153131698023,0.11312217194570136,,,,,
a6,0.46153846153846156,0.1297839506172839,0.09837962962962965,0.2755291005291005,0.2430555555555556,0.0945216049382716,0.15873015873015875,,,,
b6,0.46153846153846156,0.24132730015082948,0.13574660633484162,0.0,0.2609351432880845,0.10283833813245577,0.2591526120937886,,,,
c6,0.5384615384615384,0.21524234693877553,0.20321666115839038,0.09131493506493504,0.3322458791208791,0.0,0.15798017771701994,,,,
d6,0.6923076923076923,0.0,0.3467038131041891,0.20604395604395603,0.12053571428571432,0.1964285714285714,0.13028794513756917,,,,
e6,0.3076923076923077,0.12175324675324678,0.0,0.20089285714285715,0.0,0.09131493506493504,0.586038961038961,,,,
f6,0.5384615384615384,0.12726244343891405,0.13574660633484165,0.16968325791855204,0.3717679379444086,0.03393665158371041,0.16160310277957338,,,,
g6,0.5384615384615384,0.3121380005036515,0.17133743449532926,0.2327409432672591,0.07177033492822966,0.14024295187730076,0.07177033492822966,,,,
h6,0.46153846153846156,0.2314814814814815,0.24154589371980678,0.2954911433172302,0.13888888888888887,0.0925925925925926,0.0,,,,
i6,0.5384615384615384,0.10180995475113122,0.0,0.1979638009049773,0.33484162895927616,0.0,0.36538461538461525,,,,
j6,0.6153846153846154,0.24398395721925126,0.0,0.0992445054945055,0.43578939442910025,0.0,0.2209821428571429,,,,
k6,0.3076923076923077,0.3244343891402717,0.06108597285067864,0.4425339366515837,0.13574660633484162,0.03619909502262447,0.0,,,,
l6,0.46153846153846156,0.08928571428571427,0.0,0.2113288497217068,0.38636363636363635,0.03125000000000004,0.28177179962894255,,,,
m6,0.5384615384615384,0.28246753246753253,0.12175324675324678,0.0,0.4764610389610389,0.0,0.11931818181818182,,,,
n6,0.46153846153846156,0.13432017543859642,0.12345679012345681,0.4155092592592592,0.12995451591942825,0.19675925925925924,0.0,,,,
o6,0.5384615384615384,0.2742857142857143,0.10666666666666665,0.10418470418470425,0.16071428571428564,0.2101010101010101,0.14404761904761898,,,,
p6,0.38461538461538464,0.2517482517482517,0.2577569489334195,0.06787330316742081,0.33988070752776633,0.08274078862314163,0.0,,,,
q6,0.38461538461538464,0.16564102564102565,0.2,0.05,0.3788034188034188,0.20555555555555555,0.0,,,,
r6,0.5384615384615384,0.22820512820512828,0.25,0.2538461538461538,0.10769230769230773,0.16025641025641021,0.0,,,,
s6,0.38461538461538464,0.3838594788821033,0.3455368161250514,0.14529914529914542,0.0,0.02349460494256869,0.10180995475113122,,,,
t6,0.5384615384615384,0.0,0.28116096866096874,0.0,0.44444444444444436,0.16666666666666669,0.10772792022792023,,,,
u6,0.38461538461538464,0.12669683257918554,0.31204316045945013,0.0,0.2761921336581969,0.0,0.2850678733031674,,,,
v6,0.3076923076923077,0.22564102564102562,0.0,0.12000000000000004,0.47435897435897434,0.0,0.17999999999999997,,,,
w6,0.3076923076923077,0.34718406593406587,0.0,0.13392857142857142,0.3006625727213962,0.0,0.21822478991596647,,,,
x6,0.3076923076923077,0.0,0.0,0.07348678107606682,0.0,0.40561224489795916,0.520900974025974,,,,
y6,0.5384615384615384,0.0,0.0,0.15384615384615377,0.2222222222222222,0.19595959595959597,0.427972027972028,,,,
z6,0.3076923076923077,0.24133234461780595,0.0,0.39902616565020665,0.15036547163244002,0.20927601809954752,0.0,,,,
a7,0.5,0.09572649572649572,0.057435897435897464,0.035897435897435916,0.3868945868945868,0.0,0.0,0.42404558404558407,,,
b7,0.5833333333333334,0.48769230769230765,0.07179487179487179,0.0,0.06153846153846157,0.0,0.10769230769230768,0.2712820512820513,,,
c7,0.5833333333333334,0.1292307692307693,0.0,0.0,0.24776269482151836,0.0,0.10573426573426573,0.5172722702134467,,,
d7,0.4166666666666667,0.0,0.16851851851851854,0.0,0.19259259259259262,0.0,0.2692307692307692,0.3696581196581197,,,
e7,0.6666666666666666,0.0,0.25361305361305364,0.0,0.0,0.0,0.31469612513090767,0.4316908212560387,,,
f7,0.5833333333333334,0.10714285714285714,0.06926406926406926,0.10884353741496598,0.09667024704618685,0.0,0.10714285714285714,0.5109364319890636,,,
g7,0.5833333333333334,0.0,0.23947368421052623,0.1216374269005849,0.0,0.0,0.24615384615384614,0.39273504273504267,,,
h7,0.5833333333333334,0.5181818181818183,0.0,0.0,0.0,0.1145912910618793,0.10519480519480517,0.2620320855614972,,,
i7,0.5,0.0374149659863946,0.0,0.11496598639455782,0.4658312447786131,0.09523809523809523,0.0,0.2865497076023392,,,
j7,0.3333333333333333,0.1333333333333334,0.11555555555555556,0.15025799793601646,0.19032679738562086,0.0,0.0,0.4105263157894738,,,
k7,0.6666666666666666,0.21536796536796537,0.11428571428571425,0.09523809523809523,0.0,0.0,0.11111111111111101,0.46399711399711413,,,
l7,0.4166666666666667,0.1994301994301994,0.21320901320901325,0.23636363636363633,0.11965811965811966,0.11168091168091165,0.0,0.11965811965811966,,,
m7,0.5,0.0,0.0,0.34210526315789475,0.4495614035087719,0.09722222222222222,0.0,0.1111111111111111,,,
n7,0.6666666666666666,0.0,0.11487179487179484,0.1076923076923077,0.0,0.0,0.20102564102564102,0.5764102564102564,,,
o7,0.5833333333333334,0.13368055555555555,0.0,0.10127314814814817,0.4704861111111111,0.0,0.1973379629629629,0.09722222222222221,,,
p7,0.5833333333333334,0.17142857142857143,0.0,0.14464285714285716,0.1285714285714286,0.15535714285714283,0.0,0.39999999999999997,,,
q7,0.6666666666666666,0.12698412698412698,0.24175824175824176,0.0,0.32967032967032966,0.0,0.10158730158730155,0.20000000000000004,,,
r7,0.75,0.0,0.12763532763532762,0.0,0.4112280701754385,0.1230769230769231,0.0,0.3380596791123108,,,
s7,0.5833333333333334,0.17142857142857143,0.12857142857142856,0.11904761904761905,0.13333333333333325,0.0,0.1142857142857143,0.3333333333333334,,,
t7,0.5833333333333334,0.4685523332139873,0.0,0.0,0.10714285714285715,0.0,0.0,0.4243048096431556,,,
u7,0.5,0.0,0.4489795918367347,0.12244897959183676,0.20357142857142854,0.0,0.0,0.22500000000000003,,,
v7,0.4166666666666667,0.0,0.0,0.25963718820861686,0.45381310418904397,0.0,0.0,0.2865497076023393,,,
w7,0.8333333333333334,0.13162393162393163,0.0,0.23333333333333334,0.2252991452991453,0.0,0.0,0.4097435897435897,,,
x7,0.5,0.0,0.3214814814814815,0.10769230769230768,0.1709124883213951,0.0,0.0,0.39991372250481566,,,
y7,0.75,0.1230769230769231,0.10769230769230768,0.057435897435897464,0.0,0.0,0.21637917637917636,0.49541569541569536,,,
z7,0.5,0.0,0.17500000000000004,0.0,0.3779513888888889,0.12152777777777773,0.0,0.32552083333333326,,,
a8,0.8181818181818182,0.3484848484848485,0.16535947712418306,0.0,0.0,0.3078282828282828,0.0,0.1783273915626857,0.0,,
b8,0.2727272727272727,0.0,0.0,0.1347985347985348,0.0,0.3369963369963369,0.0,0.41025641025641035,0.11794871794871793,,
c8,0.5454545454545454,0.0,0.0,0.0,0.16732804232804233,0.11734693877551017,0.2781557067271353,0.2880952380952382,0.14907407407407394,,
d8,0.5454545454545454,0.14520202020202022,0.1960227272727273,0.0,0.15488215488215487,0.1948838878985938,0.0,0.30900920974450385,0.0,,
